Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,138.910004,141.199997,135.429993,135.429993,135.429993,0
2017-08-14,142.070007,143.229996,128.860001,128.860001,128.860001,0
2017-08-21,131.610001,135.720001,129.949997,130.160004,130.160004,0
2017-08-28,128.320007,134.850006,128.320007,134.850006,134.850006,0
2017-09-04,133.479996,136.479996,130.570007,130.570007,130.570007,0
2017-09-11,136.960007,144.539993,136.960007,144.539993,144.539993,0
2017-09-18,143.649994,143.649994,137.500000,137.500000,137.500000,0
2017-09-25,135.070007,137.750000,129.490005,137.750000,137.750000,0
2017-10-02,138.020004,144.190002,137.149994,140.350006,140.350006,0
2017-10-09,139.830002,139.830002,136.360001,138.279999,138.279999,0
